Month of Order Date,Category,Target,Order_Month,Order_Year,Category_Month_Year
2018-04-01,Furniture,10400.0,April,2018,Furniture_April_2018
2018-05-01,Furniture,10500.0,May,2018,Furniture_May_2018
2018-06-01,Furniture,10600.0,June,2018,Furniture_June_2018
2018-07-01,Furniture,10800.0,July,2018,Furniture_July_2018
2018-08-01,Furniture,10900.0,August,2018,Furniture_August_2018
2018-09-01,Furniture,11000.0,September,2018,Furniture_September_2018
2018-10-01,Furniture,11100.0,October,2018,Furniture_October_2018
2018-11-01,Furniture,11300.0,November,2018,Furniture_November_2018
2018-12-01,Furniture,11400.0,December,2018,Furniture_December_2018
2019-01-01,Furniture,11500.0,January,2019,Furniture_January_2019
2019-02-01,Furniture,11600.0,February,2019,Furniture_February_2019
2019-03-01,Furniture,11800.0,March,2019,Furniture_March_2019
2018-04-01,Clothing,12000.0,April,2018,Clothing_April_2018
2018-05-01,Clothing,12000.0,May,2018,Clothing_May_2018
2018-06-01,Clothing,12000.0,June,2018,Clothing_June_2018
2018-07-01,Clothing,14000.0,July,2018,Clothing_July_2018
2018-08-01,Clothing,14000.0,August,2018,Clothing_August_2018
2018-09-01,Clothing,14000.0,September,2018,Clothing_September_2018
2018-10-01,Clothing,16000.0,October,2018,Clothing_October_2018
2018-11-01,Clothing,16000.0,November,2018,Clothing_November_2018
2018-12-01,Clothing,16000.0,December,2018,Clothing_December_2018
2019-01-01,Clothing,16000.0,January,2019,Clothing_January_2019
2019-02-01,Clothing,16000.0,February,2019,Clothing_February_2019
2019-03-01,Clothing,16000.0,March,2019,Clothing_March_2019
2018-04-01,Electronics,9000.0,April,2018,Electronics_April_2018
2018-05-01,Electronics,9000.0,May,2018,Electronics_May_2018
2018-06-01,Electronics,9000.0,June,2018,Electronics_June_2018
2018-07-01,Electronics,9000.0,July,2018,Electronics_July_2018
2018-08-01,Electronics,9000.0,August,2018,Electronics_August_2018
2018-09-01,Electronics,9000.0,September,2018,Electronics_September_2018
2018-10-01,Electronics,9000.0,October,2018,Electronics_October_2018
2018-11-01,Electronics,9000.0,November,2018,Electronics_November_2018
2018-12-01,Electronics,9000.0,December,2018,Electronics_December_2018
2019-01-01,Electronics,16000.0,January,2019,Electronics_January_2019
2019-02-01,Electronics,16000.0,February,2019,Electronics_February_2019
2019-03-01,Electronics,16000.0,March,2019,Electronics_March_2019
